Row Labels,Alfa Romeo,AlphaTauri,Alpine F1 Team,Aston Martin,Ferrari,Force India,Haas F1 Team,Lotus F1,McLaren,Mercedes,Red Bull,Renault,Sauber,Toro Rosso,Williams
2009,0.00%,0.00%,0.00%,0.00%,10.22%,1.29%,0.00%,0.00%,9.10%,0.00%,22.64%,4.27%,0.00%,1.47%,5.72%
2010,0.00%,0.00%,0.00%,0.00%,20.67%,4.12%,0.00%,0.00%,24.52%,11.78%,24.67%,8.90%,1.62%,0.72%,3.00%
2011,0.00%,0.00%,0.00%,0.00%,18.48%,2.60%,0.00%,0.00%,25.51%,7.81%,34.80%,5.74%,2.73%,2.00%,0.32%
2012,0.00%,0.00%,0.00%,0.00%,17.25%,4.96%,0.00%,15.59%,18.34%,8.65%,22.56%,0.00%,7.20%,1.07%,4.38%
2013,0.00%,0.00%,0.00%,0.00%,19.73%,5.06%,0.00%,17.30%,5.59%,19.34%,28.86%,0.00%,1.92%,2.11%,0.09%
2014,0.00%,0.00%,0.00%,0.00%,12.00%,8.71%,0.00%,0.63%,9.11%,35.41%,19.66%,0.00%,0.00%,1.70%,12.64%
2015,0.00%,0.00%,0.00%,0.00%,23.23%,5.26%,0.00%,3.84%,1.19%,37.20%,9.07%,0.00%,2.44%,3.19%,14.57%
2016,0.00%,0.00%,0.00%,0.00%,19.57%,7.14%,2.24%,0.00%,3.48%,34.65%,20.75%,0.52%,0.02%,3.44%,8.14%
2017,0.00%,0.00%,0.00%,0.00%,27.11%,9.07%,2.53%,0.00%,0.98%,32.66%,17.32%,2.54%,0.36%,3.34%,4.09%
2018,0.00%,0.00%,0.00%,0.00%,27.97%,2.99%,4.75%,0.00%,4.26%,30.28%,19.03%,6.49%,1.74%,2.08%,0.42%
2019,2.37%,0.00%,0.00%,0.00%,24.35%,0.00%,1.80%,0.00%,5.96%,36.65%,18.68%,3.91%,0.00%,3.22%,0.05%
2020,0.48%,5.65%,0.00%,0.00%,8.34%,0.00%,0.19%,0.00%,11.23%,35.53%,18.60%,9.36%,0.00%,0.00%,0.00%
2021,0.41%,5.69%,5.98%,3.98%,14.54%,0.00%,0.00%,0.00%,14.36%,27.26%,26.76%,0.00%,0.00%,0.00%,1.01%
2022,3.47%,2.03%,6.99%,1.81%,24.40%,0.00%,2.08%,0.00%,6.86%,20.74%,31.28%,0.00%,0.00%,0.00%,0.33%
