Row Labels,Alfa Romeo,AlphaTauri,Alpine F1 Team,Aston Martin,BMW Sauber,Brawn,Ferrari,Force India,Haas F1 Team,Lotus F1,Manor Marussia,Marussia,McLaren,Mercedes,Racing Point,Red Bull,Renault,Sauber,Toro Rosso,Toyota,Virgin,Williams
2009,0.00%,0.00%,0.00%,0.00%,3.83%,31.03%,10.22%,1.29%,0.00%,0.00%,0.00%,0.00%,9.10%,0.00%,0.00%,22.64%,4.27%,0.00%,1.47%,10.43%,0.00%,5.72%
2010,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.67%,4.12%,0.00%,0.00%,0.00%,0.00%,24.52%,11.78%,0.00%,24.67%,8.90%,1.62%,0.72%,0.00%,0.00%,3.00%
2011,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.48%,2.60%,0.00%,0.00%,0.00%,0.00%,25.51%,7.81%,0.00%,34.80%,5.74%,2.73%,2.00%,0.00%,0.00%,0.32%
2012,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.25%,4.96%,0.00%,15.59%,0.00%,0.00%,18.34%,8.65%,0.00%,22.56%,0.00%,7.20%,1.07%,0.00%,0.00%,4.38%
2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.73%,5.06%,0.00%,17.30%,0.00%,0.00%,5.59%,19.34%,0.00%,28.86%,0.00%,1.92%,2.11%,0.00%,0.00%,0.09%
2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.00%,8.71%,0.00%,0.63%,0.00%,0.15%,9.11%,35.41%,0.00%,19.66%,0.00%,0.00%,1.70%,0.00%,0.00%,12.64%
2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.23%,5.26%,0.00%,3.84%,0.00%,0.00%,1.19%,37.20%,0.00%,9.07%,0.00%,2.44%,3.19%,0.00%,0.00%,14.57%
2016,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.57%,7.14%,2.24%,0.00%,0.06%,0.00%,3.48%,34.65%,0.00%,20.75%,0.52%,0.02%,3.44%,0.00%,0.00%,8.14%
2017,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.11%,9.07%,2.53%,0.00%,0.00%,0.00%,0.98%,32.66%,0.00%,17.32%,2.54%,0.36%,3.34%,0.00%,0.00%,4.09%
2018,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.97%,2.99%,4.75%,0.00%,0.00%,0.00%,4.26%,30.28%,0.00%,19.03%,6.49%,1.74%,2.08%,0.00%,0.00%,0.42%
2019,2.37%,0.00%,0.00%,0.00%,0.00%,0.00%,24.35%,0.00%,1.80%,0.00%,0.00%,0.00%,5.96%,36.65%,3.02%,18.68%,3.91%,0.00%,3.22%,0.00%,0.00%,0.05%
2020,0.48%,5.65%,0.00%,0.00%,0.00%,0.00%,8.34%,0.00%,0.19%,0.00%,0.00%,0.00%,11.23%,35.53%,10.62%,18.60%,9.36%,0.00%,0.00%,0.00%,0.00%,0.00%
2021,0.41%,5.69%,5.98%,3.98%,0.00%,0.00%,14.54%,0.00%,0.00%,0.00%,0.00%,0.00%,14.36%,27.26%,0.00%,26.76%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%
2022,3.47%,2.03%,6.99%,1.81%,0.00%,0.00%,24.40%,0.00%,2.08%,0.00%,0.00%,0.00%,6.86%,20.74%,0.00%,31.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%
